team_abbreviation,year_id,pts,opp_pts,game_result,game_location
HOU,2015,108,90,W,Away
LAL,2015,90,108,L,Home
NOP,2015,101,84,W,Home
ORL,2015,84,101,L,Away
SAS,2015,101,100,W,Home
DAL,2015,100,101,L,Away
BOS,2015,121,105,W,Home
BRK,2015,105,121,L,Away
MIL,2015,106,108,L,Away
CHO,2015,108,106,W,Home
DEN,2015,89,79,W,Home
DET,2015,79,89,L,Away
IND,2015,103,91,W,Home
PHI,2015,91,103,L,Away
MEM,2015,105,101,W,Home
MIN,2015,101,105,L,Away
WAS,2015,95,107,L,Away
MIA,2015,107,95,W,Home
NYK,2015,80,104,L,Home
CHI,2015,104,80,W,Away
PHO,2015,119,99,W,Home
LAL,2015,99,119,L,Away
OKC,2015,89,106,L,Away
POR,2015,106,89,W,Home
GSW,2015,95,77,W,Away
SAC,2015,77,95,L,Home
TOR,2015,109,102,W,Home
ATL,2015,102,109,L,Away
UTA,2015,93,104,L,Home
HOU,2015,104,93,W,Away
CLE,2015,90,95,L,Home
NYK,2015,95,90,W,Away
UTA,2015,102,120,L,Away
DAL,2015,120,102,W,Home
OKC,2015,90,93,L,Away
LAC,2015,93,90,W,Home
DET,2015,91,97,L,Away
MIN,2015,97,91,W,Home
WAS,2015,105,98,W,Away
ORL,2015,98,105,L,Home
CHI,2015,108,114,L,Home
CLE,2015,114,108,W,Away
MEM,2015,97,89,W,Away
IND,2015,89,97,L,Home
LAC,2015,118,111,W,Away
LAL,2015,111,118,L,Home
MIL,2015,93,81,W,Home
PHI,2015,81,93,L,Away
PHO,2015,94,89,W,Home
SAS,2015,89,94,L,Away
POR,2015,94,103,L,Away
SAC,2015,103,94,W,Home
IND,2015,92,102,L,Away
ATL,2015,102,92,W,Home
MEM,2015,71,69,W,Away
CHO,2015,69,71,L,Home
BRK,2015,102,90,W,Away
DET,2015,90,102,L,Home
LAL,2015,104,127,L,Away
GSW,2015,127,104,W,Home
HOU,2015,104,90,W,Home
BOS,2015,90,104,L,Away
MIN,2015,105,106,L,Home
CHI,2015,106,105,W,Away
DAL,2015,109,104,W,Away
NOP,2015,104,109,L,Home
DEN,2015,91,102,L,Away
OKC,2015,102,91,W,Home
TOR,2015,108,95,W,Away
ORL,2015,95,108,L,Home
MIA,2015,114,96,W,Away
PHI,2015,96,114,L,Home
UTA,2015,118,91,W,Home
PHO,2015,91,118,L,Away
MIL,2015,97,108,L,Away
WAS,2015,108,97,W,Home
SAC,2015,98,92,W,Away
LAC,2015,92,98,L,Home
TOR,2015,102,107,L,Away
MIA,2015,107,102,W,Home
CHO,2015,93,96,L,Away
NYK,2015,96,93,W,Home
GSW,2015,95,90,W,Away
POR,2015,90,95,L,Home
BRK,2015,116,85,W,Home
OKC,2015,85,116,L,Away
DAL,2015,118,113,W,Home
BOS,2015,113,118,L,Away
SAC,2015,110,105,W,Away
DEN,2015,105,110,L,Home
LAC,2015,107,101,W,Home
UTA,2015,101,107,L,Away
NOP,2015,81,93,L,Away
MEM,2015,93,81,W,Home
PHI,2015,93,104,L,Home
ORL,2015,90,98,L,Away
CHI,2015,98,90,W,Home
MIL,2015,87,81,W,Away
IND,2015,81,87,L,Home
LAL,2015,106,112,L,Home
PHO,2015,112,106,W,Away
HOU,2015,108,91,W,Away
MIA,2015,91,108,L,Home
NOP,2015,100,91,W,Home
CHO,2015,91,100,L,Away
NYK,2015,83,98,L,Home
WAS,2015,98,83,W,Away
POR,2015,101,82,W,Home
CLE,2015,82,101,L,Away
TOR,2015,100,88,W,Home
OKC,2015,88,100,L,Away
BOS,2015,107,110,L,Home
TOR,2015,110,107,W,Away
BRK,2015,91,98,L,Home
MIN,2015,98,91,W,Away
CHO,2015,96,89,W,Home
MIA,2015,89,96,L,Away
DET,2015,98,95,W,Home
NYK,2015,95,98,L,Away
GSW,2015,121,104,W,Home
LAC,2015,104,121,L,Away
MIL,2015,86,95,L,Home
CHI,2015,95,86,W,Away
ORL,2015,91,89,W,Away
PHI,2015,89,91,L,Home
MEM,2015,102,91,W,Away
PHO,2015,91,102,L,Home
SAC,2015,131,109,W,Home
DEN,2015,109,131,L,Away
ATL,2015,92,94,L,Away
SAS,2015,94,92,W,Home
CLE,2015,100,102,L,Away
UTA,2015,102,100,W,Home
WAS,2015,96,94,W,Home
IND,2015,94,96,L,Away
HOU,2015,98,81,W,Home
SAS,2015,81,98,L,Away
POR,2015,108,87,W,Home
DAL,2015,87,108,L,Away
IND,2015,98,101,L,Away
BOS,2015,101,98,W,Home
BRK,2015,110,99,W,Home
NYK,2015,99,110,L,Away
ATL,2015,119,122,L,Away
CHO,2015,122,119,W,Home
DEN,2015,101,110,L,Home
CLE,2015,110,101,W,Away
MIL,2015,95,98,L,Away
OKC,2015,89,91,L,Home
MEM,2015,91,89,W,Away
MIN,2015,103,112,L,Away
ORL,2015,112,103,W,Home
PHI,2015,115,118,L,Home
CHI,2015,118,115,W,Away
PHO,2015,112,114,L,Home
SAC,2015,114,112,W,Away
TOR,2015,103,84,W,Home
WAS,2015,84,103,L,Away
DAL,2015,105,82,W,Away
UTA,2015,82,105,L,Home
NYK,2015,96,103,L,Away
ATL,2015,103,96,W,Home
BOS,2015,106,101,W,Away
CHI,2015,101,106,L,Home
GSW,2015,98,87,W,Away
HOU,2015,87,98,L,Home
WAS,2015,97,90,W,Away
IND,2015,90,97,L,Home
LAC,2015,106,102,W,Home
POR,2015,102,106,L,Away
MIN,2015,92,102,L,Away
MIA,2015,102,92,W,Home
MEM,2015,92,93,L,Away
MIL,2015,93,92,W,Home
NOP,2015,100,99,W,Away
SAS,2015,99,100,L,Home
BRK,2015,104,96,W,Home
ORL,2015,96,104,L,Away
DAL,2015,96,105,L,Home
MIA,2015,105,96,W,Away
DET,2015,96,97,L,Home
UTA,2015,97,96,W,Away
LAL,2015,107,92,W,Home
CHO,2015,92,107,L,Away
OKC,2015,101,93,W,Home
SAC,2015,93,101,L,Away
GSW,2015,95,107,L,Away
PHO,2015,107,95,W,Home
DEN,2015,100,116,L,Away
POR,2015,116,100,W,Home
PHI,2015,88,120,L,Away
TOR,2015,120,88,W,Home
DET,2015,91,102,L,Away
CHI,2015,102,91,W,Home
NOP,2015,111,118,L,Away
CLE,2015,118,111,W,Home
IND,2015,97,86,W,Home
UTA,2015,86,97,L,Away
LAC,2015,85,89,L,Home
SAS,2015,89,85,W,Away
NYK,2015,85,91,L,Home
ATL,2015,91,85,W,Away
SAC,2015,98,106,L,Away
DAL,2015,106,98,W,Home
SAS,2015,113,100,W,Away
GSW,2015,100,113,L,Home
MEM,2015,107,102,W,Home
LAL,2015,102,107,L,Away
OKC,2015,78,85,L,Away
MIL,2015,85,78,W,Home
POR,2015,102,100,W,Home
CHO,2015,100,102,L,Away
ORL,2015,100,104,L,Away
TOR,2015,104,100,W,Home
ATL,2015,100,97,W,Home
UTA,2015,97,100,L,Away
BOS,2015,94,109,L,Home
OKC,2015,109,94,W,Away
DEN,2015,113,130,L,Home
POR,2015,130,113,W,Away
MIA,2015,75,81,L,Home
IND,2015,81,75,W,Away
HOU,2015,113,101,W,Neutral
MIN,2015,101,113,L,Neutral
LAL,2015,102,109,L,Away
NOP,2015,109,102,W,Home
NYK,2015,95,97,L,Home
ORL,2015,97,95,W,Away
BRK,2015,104,112,L,Away
PHO,2015,112,104,W,Home
WAS,2015,107,103,W,Home
DET,2015,103,107,L,Away
DAL,2015,123,70,W,Home
PHI,2015,70,123,L,Away
BRK,2015,99,107,L,Away
GSW,2015,107,99,W,Home
SAC,2015,110,111,L,Away
MEM,2015,111,110,W,Home
TOR,2015,93,100,L,Home
CHI,2015,100,93,W,Away
MIA,2015,103,114,L,Away
ATL,2015,114,103,W,Home
CLE,2015,122,121,W,Away
BOS,2015,121,122,L,Home
HOU,2015,88,87,W,Home
PHI,2015,87,88,L,Away
IND,2015,87,108,L,Home
DEN,2015,108,87,W,Away
SAS,2015,93,80,W,Away
LAL,2015,80,93,L,Home
MIN,2015,91,139,L,Away
NOP,2015,139,91,W,Home
NYK,2015,100,102,L,Home
DET,2015,96,89,W,Away
OKC,2015,89,96,L,Home
ORL,2015,101,85,W,Home
MIL,2015,85,101,L,Away
CHO,2015,103,95,W,Away
PHO,2015,95,103,L,Home
IND,2015,99,90,W,Away
CHI,2015,90,99,L,Home
CLE,2015,127,94,W,Home
ATL,2015,94,127,L,Away
DAL,2015,131,117,W,Home
MIN,2015,117,131,L,Away
GSW,2015,112,87,W,Home
CHO,2015,87,112,L,Away
PHO,2015,107,120,L,Away
LAC,2015,120,107,W,Home
DET,2015,88,95,L,Away
MEM,2015,95,88,W,Home
BRK,2015,87,97,L,Away
POR,2015,97,87,W,Home
SAC,2015,94,91,W,Home
SAS,2015,91,94,L,Away
UTA,2015,93,111,L,Away
TOR,2015,111,93,W,Home
WAS,2015,98,93,W,Home
ORL,2015,93,98,L,Away
GSW,2015,136,115,W,Away
LAL,2015,115,136,L,Home
MIA,2015,84,91,L,Home
MIL,2015,91,84,W,Away
NYK,2015,109,93,W,Home
DEN,2015,93,109,L,Away
HOU,2015,69,65,W,Away
OKC,2015,65,69,L,Home
BOS,2015,114,118,L,Home
PHO,2015,118,114,W,Away
BRK,2015,83,95,L,Home
MIA,2015,95,83,W,Away
CHO,2015,80,107,L,Home
DAL,2015,107,80,W,Away
CLE,2015,97,106,L,Home
DEN,2015,106,97,W,Away
ORL,2015,107,93,W,Away
DET,2015,93,107,L,Home
CHI,2015,105,89,W,Away
LAC,2015,89,105,L,Home
MEM,2015,119,93,W,Home
HOU,2015,93,119,L,Away
POR,2015,102,93,W,Home
NOP,2015,93,102,L,Away
PHI,2015,75,100,L,Away
SAS,2015,100,75,W,Home
ATL,2015,109,114,L,Home
LAL,2015,114,109,W,Away
MIL,2015,117,113,W,Home
NYK,2015,113,117,L,Away
NOP,2015,106,100,W,Away
SAC,2015,100,106,L,Home
UTA,2015,98,81,W,Home
OKC,2015,81,98,L,Away
MIL,2015,122,118,W,Away
BRK,2015,118,122,L,Home
SAS,2015,92,90,W,Away
CLE,2015,90,92,L,Home
DEN,2015,107,100,W,Home
OKC,2015,100,107,L,Away
DET,2015,86,88,L,Home
PHO,2015,88,86,W,Away
HOU,2015,92,98,L,Home
LAL,2015,98,92,W,Away
CHO,2015,86,88,L,Away
IND,2015,88,86,W,Home
MIN,2015,115,99,W,Home
NYK,2015,99,115,L,Away
ORL,2015,90,114,L,Home
LAC,2015,114,90,W,Away
PHI,2015,90,101,L,Home
BOS,2015,101,90,W,Away
TOR,2015,96,92,W,Home
MEM,2015,92,96,L,Away
DAL,2015,105,102,W,Away
WAS,2015,102,105,L,Home
MIA,2015,93,110,L,Home
LAC,2015,110,93,W,Away
CHI,2015,88,103,L,Away
SAC,2015,103,88,W,Home
DET,2015,89,99,L,Away
ATL,2015,99,89,W,Home
CHO,2015,100,105,L,Home
ORL,2015,105,100,W,Away
DAL,2015,140,106,W,Home
LAL,2015,106,140,L,Away
DEN,2015,117,97,W,Home
NOP,2015,97,117,L,Away
UTA,2015,88,101,L,Away
GSW,2015,101,88,W,Home
BOS,2015,100,117,L,Away
MEM,2015,117,100,W,Home
MIN,2015,92,121,L,Home
SAS,2015,121,92,W,Away
BRK,2015,94,92,W,Away
OKC,2015,92,94,L,Home
PHO,2015,122,96,W,Away
PHI,2015,96,122,L,Home
POR,2015,105,87,W,Home
CHI,2015,87,105,L,Away
MIL,2015,82,124,L,Away
TOR,2015,124,82,W,Home
CLE,2015,78,91,L,Away
WAS,2015,91,78,W,Home
CLE,2015,93,110,L,Home
TOR,2015,110,93,W,Away
DAL,2015,92,95,L,Away
HOU,2015,95,92,W,Home
PHO,2015,106,83,W,Away
IND,2015,83,106,L,Home
MIL,2015,100,111,L,Home
WAS,2015,111,100,W,Away
SAC,2015,113,101,W,Away
NYK,2015,91,83,W,Home
PHI,2015,83,91,L,Away
ORL,2015,92,99,L,Home
MIA,2015,99,92,W,Away
SAS,2015,99,87,W,Home
BRK,2015,87,99,L,Away
UTA,2015,94,106,L,Home
NOP,2015,106,94,W,Away
BOS,2015,88,94,L,Home
POR,2015,94,88,W,Away
DEN,2015,101,94,W,Away
LAL,2015,94,101,L,Home
LAC,2015,91,107,L,Away
MEM,2015,107,91,W,Home
MIA,2015,94,93,W,Home
CHO,2015,93,94,L,Away
OKC,2015,86,91,L,Home
GSW,2015,91,86,W,Away
CHO,2015,92,113,L,Home
LAC,2015,113,92,W,Away
CLE,2015,106,74,W,Home
ORL,2015,74,106,L,Away
IND,2015,111,100,W,Away
DAL,2015,100,111,L,Home
HOU,2015,91,86,W,Home
NYK,2015,86,91,L,Away
PHI,2015,104,114,L,Home
POR,2015,114,104,W,Away
PHO,2015,100,104,L,Away
UTA,2015,95,97,L,Home
CHI,2015,97,95,W,Away
DEN,2015,114,109,W,Home
CHI,2015,109,114,L,Away
GSW,2015,114,97,W,Away
MIA,2015,97,114,L,Home
MIL,2015,98,86,W,Home
DET,2015,86,98,L,Away
NOP,2015,89,99,L,Home
SAC,2015,99,89,W,Away
ATL,2015,106,102,W,Away
WAS,2015,102,106,L,Home
ATL,2015,115,126,L,Home
TOR,2015,126,115,W,Away
CHO,2015,97,105,L,Home
POR,2015,105,97,W,Away
WAS,2015,87,113,L,Away
CLE,2015,113,87,W,Home
DAL,2015,109,102,W,Home
NYK,2015,102,109,L,Away
DET,2015,98,104,L,Home
LAC,2015,104,98,W,Away
SAC,2015,89,102,L,Away
HOU,2015,102,89,W,Home
MEM,2015,99,93,W,Away
LAL,2015,93,99,L,Home
MIL,2015,103,86,W,Away
MIN,2015,86,103,L,Home
OKC,2015,97,82,W,Home
UTA,2015,82,97,L,Away
ORL,2015,96,111,L,Home
GSW,2015,111,96,W,Away
PHI,2015,91,99,L,Home
BRK,2015,99,91,W,Away
DEN,2015,112,120,L,Away
PHO,2015,120,112,W,Home
IND,2015,100,106,L,Away
SAS,2015,106,100,W,Home
ATL,2015,100,91,W,Home
NOP,2015,91,100,L,Away
BOS,2015,102,109,L,Home
CHI,2015,109,102,W,Away
GSW,2015,106,101,W,Away
CHO,2015,101,106,L,Home
DEN,2015,122,97,W,Home
PHO,2015,97,122,L,Away
DET,2015,88,104,L,Home
MIL,2015,104,88,W,Away
LAC,2015,102,85,W,Away
HOU,2015,85,102,L,Home
IND,2015,98,83,W,Home
ORL,2015,83,98,L,Away
MIN,2015,120,119,W,Away
LAL,2015,119,120,L,Home
OKC,2015,105,78,W,Home
NYK,2015,78,105,L,Away
MEM,2015,112,99,W,Away
POR,2015,99,112,L,Home
SAC,2015,104,112,L,Away
SAS,2015,112,104,W,Home
DAL,2015,106,102,W,Away
TOR,2015,102,106,L,Home
ATL,2015,105,75,W,Home
CHO,2015,75,105,L,Away
CLE,2015,109,97,W,Home
IND,2015,97,109,L,Away
MIL,2015,103,117,L,Home
HOU,2015,117,103,W,Away
DAL,2015,110,103,W,Away
PHI,2015,103,110,L,Home
UTA,2015,96,112,L,Home
LAC,2015,112,96,W,Away
NOP,2015,80,83,L,Away
WAS,2015,83,80,W,Home
BOS,2015,89,111,L,Home
SAS,2015,111,89,W,Away
BRK,2015,84,102,L,Home
CHI,2015,102,84,W,Away
GSW,2015,104,93,W,Away
DET,2015,93,104,L,Home
TOR,2015,122,129,L,Away
LAL,2015,129,122,W,Home
MIA,2015,86,79,W,Away
NYK,2015,79,86,L,Home
PHO,2015,90,93,L,Home
ORL,2015,93,90,W,Away
MIN,2015,93,107,L,Away
POR,2015,107,93,W,Home
MEM,2015,97,85,W,Away
SAC,2015,85,97,L,Home
LAC,2015,127,101,W,Home
MIN,2015,101,127,L,Away
PHI,2015,103,109,L,Home
SAS,2015,109,103,W,Away
UTA,2015,101,103,L,Home
DEN,2015,103,101,W,Away
WAS,2015,107,86,W,Home
MIA,2015,86,107,L,Away
BOS,2015,105,109,L,Away
ATL,2015,109,105,W,Home
DAL,2015,132,129,W,Away
CHI,2015,129,132,L,Home
MIL,2015,108,111,L,Away
CLE,2015,111,108,W,Home
POR,2015,105,103,W,Away
DEN,2015,103,105,L,Home
LAL,2015,106,96,W,Away
DET,2015,96,106,L,Home
ORL,2015,97,98,L,Away
GSW,2015,98,97,W,Home
NOP,2015,112,104,W,Home
OKC,2015,104,112,L,Away
NYK,2015,93,98,L,Home
BRK,2015,98,93,W,Away
IND,2015,99,116,L,Away
PHO,2015,116,99,W,Home
SAC,2015,109,117,L,Home
TOR,2015,117,109,W,Away
BOS,2015,109,102,W,Home
DET,2015,102,109,L,Away
SAS,2015,93,95,L,Away
BRK,2015,95,93,W,Home
CHO,2015,95,102,L,Home
CHI,2015,102,95,W,Away
HOU,2015,105,96,W,Home
MEM,2015,96,105,L,Away
LAC,2015,114,86,W,Home
ORL,2015,86,114,L,Away
ATL,2015,112,102,W,Away
MIA,2015,102,112,L,Home
DAL,2015,107,105,W,Away
MIL,2015,105,107,L,Home
MIN,2015,77,85,L,Home
PHI,2015,85,77,W,Away
UTA,2015,104,123,L,Home
TOR,2015,123,104,W,Away
WAS,2015,111,95,W,Home
LAL,2015,95,111,L,Away
GSW,2015,112,85,W,Home
NOP,2015,85,112,L,Away
NYK,2015,87,90,L,Home
CLE,2015,90,87,W,Away
POR,2015,88,82,W,Home
IND,2015,82,88,L,Away
LAL,2015,96,113,L,Away
BOS,2015,113,96,W,Home
ATL,2015,98,75,W,Away
BRK,2015,75,98,L,Home
NYK,2015,102,103,L,Away
CHO,2015,103,102,W,Home
PHO,2015,118,106,W,Away
DAL,2015,106,118,L,Home
MEM,2015,101,107,L,Home
SAS,2015,107,101,W,Away
MIL,2015,109,85,W,Home
MIA,2015,85,109,L,Away
HOU,2015,114,112,W,Away
MIN,2015,112,114,L,Home
OKC,2015,103,91,W,Away
IND,2015,101,102,L,Away
SAC,2015,102,101,W,Home
TOR,2015,91,105,L,Home
CLE,2015,105,91,W,Away
ORL,2015,98,93,W,Away
UTA,2015,93,98,L,Home
WAS,2015,119,89,W,Home
DEN,2015,89,119,L,Away
GSW,2015,112,102,W,Away
CHI,2015,102,112,L,Home
DET,2015,101,108,L,Home
PHI,2015,108,101,W,Away
HOU,2015,100,95,W,Home
PHO,2015,95,100,L,Away
NOP,2015,100,120,L,Away
LAC,2015,120,100,W,Home
SAC,2015,96,105,L,Home
ORL,2015,105,96,W,Away
SAS,2015,123,101,W,Home
MIN,2015,101,123,L,Away
ATL,2015,96,84,W,Home
DEN,2015,84,96,L,Away
WAS,2015,93,101,L,Away
BOS,2015,101,93,W,Home
MIL,2015,102,125,L,Away
DAL,2015,125,102,W,Home
DET,2015,94,96,L,Home
OKC,2015,96,94,W,Away
NOP,2015,104,87,W,Away
LAL,2015,87,104,L,Home
MEM,2015,103,87,W,Home
MIA,2015,87,103,L,Away
NYK,2015,99,103,L,Home
POR,2015,103,99,W,Away
CLE,2015,110,88,W,Away
BRK,2015,88,110,L,Home
IND,2015,92,108,L,Home
ATL,2015,108,92,W,Away
PHO,2015,120,121,L,Away
LAC,2015,121,120,W,Home
GSW,2015,102,86,W,Away
MIN,2015,86,102,L,Home
SAC,2015,101,92,W,Home
UTA,2015,92,101,L,Away
DEN,2015,107,112,L,Away
TOR,2015,112,107,W,Home
WAS,2015,133,132,W,Home
BOS,2015,132,133,L,Away
CLE,2015,105,101,W,Home
TOR,2015,101,105,L,Away
POR,2015,98,86,W,Away
LAL,2015,98,95,W,Home
SAC,2015,95,98,L,Away
MEM,2015,114,105,W,Home
DAL,2015,105,114,L,Away
NYK,2015,93,104,L,Away
NOP,2015,104,93,W,Home
MIL,2015,101,114,L,Away
OKC,2015,114,101,W,Home
MIA,2015,103,97,W,Away
PHO,2015,97,103,L,Home
UTA,2015,100,96,W,Home
SAS,2015,96,100,L,Away
ATL,2015,95,79,W,Home
PHI,2015,79,95,L,Away
CHI,2015,105,80,W,Home
